Id_site,Yacimiento,Localidad,Isla,Unidad geográfica,Latitud,Longitud,Tipo de yacimiento
85,Igueste,Candelaria,Tenerife,Occidental,28.38075,-16.37541,Cueva
86,Islote de Cofete,Pájara,Fuerteventura,Oriental,28.12595,-14.35746,Aire libre / Conchero
87,Jameos del Agua,Haría,Lanzarote,Oriental,29.18772,-13.49706,Cueva
88,La Angostura,Santa Brígida,Gran Canaria,Oriental,28.05153,-15.48514,Cueva
89,La Arena,Barranco Hondo,Tenerife,Occidental,28.4006,-16.35625,Cueva
90,La Asomada del Cantero,San Sebastián,La Gomera,Occidental,28.1394,-17.13068,Cueva
91,La Banda de la Higuerita,San Sebastián,La Gomera,Occidental,28.0508,-17.2515,Cueva
92,La Cañada de la Caleta,Hermigua,La Gomera,Occidental,28.1756,-17.17106,Cueva
93,La Cañada de la Gurona,Hermigua,La Gomera,Occidental,28.1784,-17.19356,Cueva
94,La Cañada del Paridero,San Sebastián,La Gomera,Occidental,28.1125,-17.121,Cueva
95,La Cerera,Arucas,Gran Canaria,Oriental,28.12199,-15.52544,Cueva
96,La Chifletera,Yaiza,Lanzarote,Oriental,28.9818,-13.8285,Cueva
97,La Cordillera (cueva 2),Valle Gran Rey,La Gomera,Occidental,28.10339,-17.29232,Cueva
98,La Crucecita – Los Corrales,Teguise,Lanzarote,Oriental,29.08388,-13.59264,Aire libre
99,La Cueva de los Huesos,Vallehermoso,La Gomera,Occidental,28.06988,-17.28545,Cueva
100,La Enladrillada,Tegueste,Tenerife,Occidental,28.52981,-16.3266,Cueva
101,La Florida,La Orotava,Tenerife,Occidental,28.38871,-16.50395,Cueva
102,La Fortaleza,Santa Lucía de Tirajana,Gran Canaria,Oriental,27.88382,-15.52759,Cueva
103,La Lajura,El Pinar,El Hierro,Occidental,27.67519,-17.98968,Cueva
104,La Montañeta,Moya,Gran Canaria,Oriental,28.12147,-15.57188,Granero
105,La Palmita/ La Palmilla,Tejina,Tenerife,Occidental,28.53578,-16.3625,Cueva
116,La Quebrada de la Sabina,Vallehermoso,La Gomera,Occidental,28.18201,-17.32078,Cueva
117,La Restinga,Malpais,El Hierro,Occidental,27.64142,-17.97722,Desconocido
118,La Salamera,Malpaises,La Palma,Occidental,28.56745,-17.76415,Aire libre / Conchero
119,La Tonina,Corralejo / Parque Holandés,Fuerteventura,Oriental,28.63547,-13.83018,Desconocido
120,Las Cerquitas (cueva 2),San Sebastián,La Gomera,Occidental,28.14009,-17.13149,Cueva
121,Las cuevas de Herrera González,Vallehermoso,La Gomera,Occidental,28.1743,-17.32368,Cueva
122,Las Fuentes,Buenavista del Norte,Tenerife,Occidental,28.3859,-16.8242,Aire libre / Conchero
123,Las Huesas,Las Palmas,Gran Canaria,Oriental,28.0848,-15.45174,Cueva
124,Llano de Maja,Las Cañadas,Tenerife,Occidental,28.25432,-16.6181,Cueva
125,Llano del Morrito,Antigua,Fuerteventura,Oriental,28.36326,-13.88088,Aire libre / poblado
126,Llano del Sombrero,Betancuria,Fuerteventura,Oriental,28.4247,-14.05246,Aire libre / poblado
127,Lobos 1,Islote de Lobos,Fuerteventura,Oriental,28.742082,-13.825001,Aire libre / Conchero
128,Lomito del Frontón / Barranco de Argaga,Vallehermoso,La Gomera,Occidental,28.08246,-17.31832,Cueva
129,Lomo de los Caserones,La Aldea de San Nicolás,Gran Canaria,Oriental,27.8631,-15.5569,Cista
130,Lomo de los Gatos,Mogán,Gran Canaria,Oriental,27.81827,-15.76057,Aire libre / poblado
131,Lomo de los Melones,Telde,Gran Canaria,Oriental,28.00683,-15.37804,Aire libre / poblado
132,Lomo del Piquillo,San Sebastián,La Gomera,Occidental,28.03992,-17.18422,Aire libre
